INFO 2024-12-24 23:43:12,501 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-24 23:43:12,502 autoreload Waiting for apps ready_event.
DEBUG 2024-12-24 23:43:13,156 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-24 23:43:13,197 autoreload Watching dir D:\Brandon\Documents\GitHub\EbbinghausAnywhere\ebbinghausAnywhere\EAW\templates with glob **/*.
DEBUG 2024-12-24 23:43:13,198 autoreload Watching dir D:\Brandon\Documents\GitHub\EbbinghausAnywhere\EbbinghausAnywhere\templates with glob **/*.
DEBUG 2024-12-24 23:43:13,198 autoreload Watching dir D:\Brandon\Documents\GitHub\EbbinghausAnywhere\ebbinghausAnywhere\locale with glob **/*.mo.
DEBUG 2024-12-24 23:43:13,198 autoreload Watching dir D:\Brandon\Documents\GitHub\EbbinghausAnywhere\ebbinghausAnywhere\EAW\locale with glob **/*.mo.
DEBUG 2024-12-24 23:43:13,259 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-24 23:43:13,262 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-24 23:43:13,647 autoreload File C:\anaconda3\Lib\email\_policybase.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,648 autoreload File C:\anaconda3\Lib\site-packages\django\conf\__init__.py first seen with mtime 1676469710.0
DEBUG 2024-12-24 23:43:13,648 autoreload File C:\anaconda3\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1690904637.0
DEBUG 2024-12-24 23:43:13,648 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,648 autoreload File C:\anaconda3\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,649 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,649 autoreload File D:\Brandon\Documents\GitHub\EbbinghausAnywhere\EbbinghausAnywhere\EAW\translate.py first seen with mtime 1733590200.1120605
DEBUG 2024-12-24 23:43:13,649 autoreload File D:\Brandon\Documents\GitHub\EbbinghausAnywhere\EbbinghausAnywhere\EbbinghausAnywhere\__init__.py first seen with mtime 1733071129.0853543
DEBUG 2024-12-24 23:43:13,649 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1676469712.0
DEBUG 2024-12-24 23:43:13,649 autoreload File C:\anaconda3\Lib\site-packages\numpy\core\_multiarray_umath.cp311-win_amd64.pyd first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,649 autoreload File C:\anaconda3\Lib\site-packages\django\core\files\storage.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\django\utils\cache.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\chardet\universaldetector.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1686163281.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,650 autoreload File C:\anaconda3\Lib\site-packages\chardet\hebrewprober.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,651 autoreload File C:\anaconda3\Lib\json\encoder.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,651 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\utils.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,651 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\workbook\child.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,651 autoreload File C:\anaconda3\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,651 autoreload File C:\anaconda3\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1686163281.0
DEBUG 2024-12-24 23:43:13,652 autoreload File C:\anaconda3\Lib\platform.py first seen with mtime 1694438693.0
DEBUG 2024-12-24 23:43:13,652 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,652 autoreload File C:\anaconda3\Lib\site-packages\PIL\_util.py first seen with mtime 1696580339.5107431
DEBUG 2024-12-24 23:43:13,652 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chart\area_chart.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\email\message.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\formatting\__init__.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\urllib\parse.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\site-packages\django\forms\forms.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chart\descriptors.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\site-packages\chardet\jpcntx.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,653 autoreload File C:\anaconda3\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,654 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\drawing\line.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,654 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,654 autoreload File C:\anaconda3\Lib\email\_header_value_parser.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,654 autoreload File C:\anaconda3\Lib\site-packages\numpy\polynomial\legendre.py first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,654 autoreload File C:\anaconda3\DLLs\_overlapped.pyd first seen with mtime 1694438851.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\workbook\workbook.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\brotli\brotli.py first seen with mtime 1481534721.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\django\template\context.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1676469711.0
DEBUG 2024-12-24 23:43:13,655 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\cell\cell.py first seen with mtime 1652974692.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\cffi\error.py first seen with mtime 1676423800.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\glob.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1690904637.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1690904637.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\chart\text.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\chardet\utf8prober.py first seen with mtime 1676436166.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\worksheet\datavalidation.py first seen with mtime 1652973228.0
DEBUG 2024-12-24 23:43:13,656 autoreload File C:\anaconda3\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1676469713.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\numpy\random\mtrand.cp311-win_amd64.pyd first seen with mtime 1682983039.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\nturl2path.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\statistics.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\hashlib.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\asyncio\base_tasks.py first seen with mtime 1692878958.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1696580339.4579446
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,657 autoreload File C:\anaconda3\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1676469711.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\numpy\core\_add_newdocs_scalars.py first seen with mtime 1682983038.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\django\utils\crypto.py first seen with mtime 1676469714.0
DEBUG 2024-12-24 23:43:13,658 autoreload File C:\anaconda3\Lib\site-packages\openpyxl\comments\comment_sheet.py first seen with mtime 1652973228.0
